course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
138228	Get great playing HARMONICA - a fun new leisure time hobby !	35	paid	2543	44	17	Beginner Level	0.11	2	2/12/2014
647338	How To Make Money With A Cover Band	50	paid	2498	12	25	All Levels	0.11	3.5	3/30/2017
422546	Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days	95	paid	2415	16	115	All Levels	0.11	2.5	2/17/2015
782430	Playing Piano: Scales and Arpeggios Vol.I : Major keys	50	paid	2358	3	26	All Levels	0.11	1	3/31/2016
51752	Just chords Piano: Learn to Play Piano Quickly - No Music	85	paid	2357	15	53	Beginner Level	0.11	5	5/2/2013
311530	Learn How to Play Blues, Rock, & Boogie Woogie Piano Today	45	paid	2346	11	14	Intermediate Level	0.12	0.65	10/8/2014
1116196	Essential Theory and Technique for Guitar	0	free	2285	34	22	Beginner Level	0.76	2	2/25/2017
659918	Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro	70	paid	2164	10	30	Beginner Level	0.47	1	11/4/2015
1003568	Master Class # 11:  Play Piano Techniques Learn Piano 1 to10	95	paid	2164	10	113	Beginner Level	0.73	2	11/7/2016
515256	Guitar - 12  Strumming Patterns You Must Know For Guitar	50	paid	2154	40	16	Beginner Level	0.69	1	7/6/2015
1119092	"Learn guitar the Right way! Complete 'KickStarter course"""	150	paid	2102	33	99	Beginner Level	0.96	9	2/25/2017
961630	Beginner Guitar Quick-Start Course	0	free	2084	20	7	Beginner Level	0.03	1	9/28/2016
907966	Guitar: Learn 10 CCR Guitar Chord Progressions	50	paid	2045	8	24	Beginner Level	0.36	2	8/25/2016
1123250	Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands	95	paid	2026	3	62	Beginner Level	0.2	2.5	3/9/2017
1122832	#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song	65	paid	2015	3	21	Beginner Level	0.35	0.733333333	3/8/2017
1123184	#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4	65	paid	2015	2	25	All Levels	0.95	1	3/8/2017
551170	Your First Course on Piano	70	paid	2002	34	33	All Levels	0.38	4	7/16/2015
1111630	Learn to play the piano or keyboard from scratch	145	paid	1987	11	161	Beginner Level	0.85	14	5/31/2017
646906	Playing Piano:  Play Chords and Popular Pieces Vol.I	100	paid	1987	7	43	All Levels	0.83	3	2/1/2016
778682	Gitarre spielen wie die Profis	20	paid	1981	28	38	All Levels	0.94	2	3/21/2016
353224	The Best Beginner Guitar Course Ever	50	paid	1976	252	16	Beginner Level	0.76	1	11/25/2014
17922	Play Ukulele Now	30	paid	1951	88	78	Expert Level	0.8	5	6/2/2012
829616	Aprendiendo Piano: Ejercicios de calentamiento	0	free	1876	109	11	Beginner Level	0.11	0.55	4/27/2016
132570	Basic Piano Hymn Playing	20	paid	1842	21	28	All Levels	0.12	1.5	12/12/2013
260900	Quick & Easy Piano Chords: Play more songs with more chords	55	paid	1818	4	90	Beginner Level	0.52	2.5	7/17/2014
777650	Drumming for Beginners - Simple Way To Learn How To Drum	20	paid	1814	28	22	Beginner Level	0.11	2	3/2/2016
658816	Learn How to Improvise on Guitar in 30 Days	200	paid	1788	89	33	All Levels	0.47	6	10/25/2016
637842	Playing Piano : Reading and Playing Classical Tunes Vol.I	50	paid	1732	6	34	Beginner Level	0.88	2	10/16/2015
